시기,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,,,,,,
16년11월,1138,617,366,468,404,557,383,346,376,334,420,511,578,453,998,577,412,749,615,516,735,408,483,545,348,NA,NA,NA,NA,NA,NA
16년12월,1121,618,367,470,404,559,385,347,376,335,421,513,581,465,995,578,413,751,617,520,737,411,484,548,349,NA,NA,NA,NA,NA,NA
17년01월,1120,620,370,471,404,560,386,348,378,336,422,514,581,466,993,579,416,752,617,522,738,411,484,552,350,NA,NA,NA,NA,NA,NA
17년02월,1124,620,370,471,404,560,387,351,379,336,423,514,583,468,995,581,417,753,617,523,739,412,538,552,350,NA,NA,NA,NA,NA,NA
17년03월,1130,622,371,476,405,563,389,352,379,336,425,516,587,471,1001,583,417,755,616,525,742,413,542,554,352,NA,NA,NA,NA,NA,NA
17년04월,1136,624,371,477,406,565,390,353,381,337,426,517,590,474,1007,585,419,760,616,531,745,414,563,555,352,NA,NA,NA,NA,NA,NA
17년05월,1154,639,372,480,407,569,392,355,383,338,427,521,594,475,1016,597,420,772,618,536,752,415,565,556,356,NA,NA,NA,NA,NA,NA
17년06월,1189,660,373,485,412,579,395,361,389,341,431,529,600,478,1041,607,422,793,630,542,766,416,580,566,357,NA,NA,NA,NA,NA,NA
17년07월,1205,641,375,493,417,586,399,365,398,348,435,538,607,483,1056,619,425,804,636,549,778,420,586,587,359,NA,NA,NA,NA,NA,NA
17년08월,1244,660,379,502,424,596,405,369,410,356,445,548,619,491,1081,635,428,835,646,564,803,425,595,597,365,NA,NA,NA,NA,NA,NA
17년09월,1226,629,382,505,427,604,409,370,412,357,448,553,625,494,1086,639,431,835,647,567,809,427,597,600,367,NA,NA,NA,NA,NA,NA
17년10월,1242,637,384,507,429,611,412,376,415,358,451,561,632,499,1095,647,435,849,649,572,816,428,604,605,369,NA,NA,NA,NA,NA,NA
17년11월,1266,648,386,511,431,629,414,377,416,362,454,565,642,504,1109,661,438,867,656,579,823,431,608,612,371,NA,NA,NA,NA,NA,NA
17년12월,1295,658,388,516,433,638,415,378,418,364,458,572,649,507,1128,672,440,891,674,587,830,431,616,616,373,NA,NA,NA,NA,NA,NA
18년01월,1350,675,388,521,434,658,419,379,419,367,466,583,661,512,1109,698,443,934,691,599,852,432,623,621,375,NA,NA,NA,NA,NA,NA
18년02월,1414,701,389,524,438,669,420,380,423,369,476,591,671,519,1145,724,446,968,701,608,868,434,638,633,378,NA,NA,NA,NA,NA,NA
18년03월,1461,732,391,535,442,694,425,381,427,371,494,612,687,536,1185,755,453,1013,710,623,913,440,653,649,382,NA,NA,NA,NA,NA,NA
18년04월,1490,737,394,543,448,707,431,384,431,374,508,634,726,543,1201,770,466,1027,717,641,935,445,659,669,385,NA,NA,NA,NA,NA,NA
18년05월,1505,738,398,549,455,710,434,385,431,377,520,651,738,550,1213,773,474,1029,720,651,947,450,663,681,389,NA,NA,NA,NA,NA,NA
18년06월,1510,744,401,553,462,714,437,388,432,378,535,658,748,556,1217,787,479,1025,723,658,960,456,670,696,392,NA,NA,NA,NA,NA,NA
18년07월,1517,751,404,560,470,720,446,393,435,380,545,668,761,568,1231,796,489,1021,726,668,974,464,681,706,396,NA,NA,NA,NA,NA,NA
18년08월,1540,764,407,571,483,727,454,401,441,385,550,681,779,580,1262,806,497,1037,745,685,993,471,690,727,399,NA,NA,NA,NA,NA,NA
18년09월,1602,811,440,597,513,760,480,419,468,405,578,716,823,606,1331,843,523,1085,807,725,1042,489,717,761,414,NA,NA,NA,NA,NA,NA
18년10월,1619,824,463,635,536,772,503,443,492,423,600,734,840,627,1432,868,544,1105,830,747,1055,522,730,781,430,NA,NA,NA,NA,NA,NA
18년11월,1625,829,474,647,542,781,510,448,498,431,610,759,847,635,1443,877,551,1106,836,759,1068,529,738,784,440,NA,NA,NA,NA,NA,NA
18년12월,1624,822,475,649,544,785,512,449,501,433,616,761,850,643,1445,881,557,1127,839,763,1073,542,746,787,446,NA,NA,NA,NA,NA,NA
19년01월,1611,820,477,653,546,786,514,451,503,435,622,763,852,644,1446,883,559,1114,838,765,1074,543,754,788,449,NA,NA,NA,NA,NA,NA
19년02월,1601,817,477,654,546,785,516,452,503,435,626,764,851,644,1448,883,571,1105,839,766,1070,548,754,786,452,NA,NA,NA,NA,NA,NA
19년03월,1587,810,476,654,546,785,516,453,503,436,627,769,851,644,1440,882,570,1093,831,765,1071,550,756,785,452,NA,NA,NA,NA,NA,NA
19년04월,1577,806,476,656,546,784,517,454,504,439,626,768,848,644,1435,881,570,1089,825,765,1073,552,760,784,455,NA,NA,NA,NA,NA,NA
19년05월,1583,804,475,656,545,786,516,456,504,440,629,767,847,640,1435,881,569,1094,824,766,1073,553,764,788,456,NA,NA,NA,NA,NA,NA
19년06월,1597,812,475,654,545,787,517,458,504,440,628,765,848,640,1443,881,569,1101,825,769,1076,553,766,789,457,NA,NA,NA,NA,NA,NA
19년07월,1649,821,476,652,553,800,519,460,510,444,630,768,860,642,1464,889,571,1146,839,778,1096,555,770,795,460,NA,NA,NA,NA,NA,NA
19년08월,1678,831,478,653,552,812,523,461,515,446,634,774,870,650,1489,899,575,1160,846,785,1103,557,773,798,463,NA,NA,NA,NA,NA,NA
19년09월,1648,866,488,653,554,823,528,466,518,449,638,781,886,658,1508,911,581,1172,852,794,1113,565,784,805,468,NA,NA,NA,NA,NA,NA
19년10월,1694,885,489,655,558,846,534,480,523,453,644,791,899,665,1531,926,586,1197,875,806,1124,570,792,813,472,NA,NA,NA,NA,NA,NA
19년11월,1576,899,492,659,565,875,540,489,528,456,649,805,911,675,1553,941,593,1225,901,817,1134,577,802,820,477,NA,NA,NA,NA,NA,NA
